,repository,number,url,date,state,package,from,to,vulnerabilities,severities,maximal_severity
1209,StartupsPoleEmploi/zen,386,https://github.com/StartupsPoleEmploi/zen/pull/386,2020-03-14T10:33:38Z,MERGED,acorn,5.7.3,5.7.4,['GHSA-6chw-6frg-f759'],['MODERATE'],MODERATE
1210,bespoken/skill-testing-ml,292,https://github.com/bespoken/skill-testing-ml/pull/292,2019-08-27T00:02:54Z,MERGED,eslint-utils,1.4.0,1.4.2,['GHSA-3gx7-xhv7-5mx3'],['CRITICAL'],CRITICAL
1211,bespoken/skill-testing-ml,295,https://github.com/bespoken/skill-testing-ml/pull/295,2019-08-28T23:11:47Z,MERGED,eslint-utils,1.4.0,1.4.2,['GHSA-3gx7-xhv7-5mx3'],['CRITICAL'],CRITICAL
1212,bespoken/skill-testing-ml,363,https://github.com/bespoken/skill-testing-ml/pull/363,2020-02-19T17:55:03Z,MERGED,codecov,3.6.1,3.6.5,['GHSA-5q88-cjfq-g2mh'],['MODERATE'],MODERATE
1213,bespoken/skill-testing-ml,382,https://github.com/bespoken/skill-testing-ml/pull/382,2020-03-14T23:18:20Z,MERGED,acorn,5.7.3,5.7.4,['GHSA-6chw-6frg-f759'],['MODERATE'],MODERATE
1214,bespoken/skill-testing-ml,397,https://github.com/bespoken/skill-testing-ml/pull/397,2020-04-30T01:33:29Z,MERGED,jquery,3.4.1,3.5.0,"['GHSA-jpcq-cgw6-v4j6', 'GHSA-gxr4-xjj5-5px2']","['MODERATE', 'MODERATE']",MODERATE
1215,Plant-for-the-Planet-org/treecounter-app,915,https://github.com/Plant-for-the-Planet-org/treecounter-app/pull/915,2019-06-16T22:01:50Z,MERGED,axios,0.17.1,0.18.1,['GHSA-42xw-2xvc-qx8m'],['MODERATE'],MODERATE
1216,Plant-for-the-Planet-org/treecounter-app,916,https://github.com/Plant-for-the-Planet-org/treecounter-app/pull/916,2019-06-16T22:06:21Z,CLOSED,webpack-dev-server,2.11.3,3.1.11,['GHSA-cf66-xwfp-gvc4'],['HIGH'],HIGH
1217,CivicActions/civicactions.com,597,https://github.com/CivicActions/civicactions.com/pull/597,2019-08-15T19:12:41Z,CLOSED,lodash,4.17.11,4.17.13,['GHSA-jf85-cpcp-j695'],['HIGH'],HIGH
1218,CivicActions/civicactions.com,598,https://github.com/CivicActions/civicactions.com/pull/598,2019-08-15T19:12:47Z,CLOSED,axios,0.18.0,0.18.1,['GHSA-42xw-2xvc-qx8m'],['MODERATE'],MODERATE
1219,CivicActions/civicactions.com,599,https://github.com/CivicActions/civicactions.com/pull/599,2019-08-15T19:12:48Z,CLOSED,fstream,1.0.11,1.0.12,['GHSA-xf7w-r453-m56c'],['HIGH'],HIGH
1220,CivicActions/civicactions.com,600,https://github.com/CivicActions/civicactions.com/pull/600,2019-08-15T19:12:51Z,CLOSED,lodash.mergewith,4.6.1,4.6.2,['GHSA-jf85-cpcp-j695'],['HIGH'],HIGH
1221,CivicActions/civicactions.com,601,https://github.com/CivicActions/civicactions.com/pull/601,2019-08-15T19:12:51Z,CLOSED,handlebars,4.0.12,4.1.2,['GHSA-q42p-pg8m-cqh6'],['CRITICAL'],CRITICAL
1222,CivicActions/civicactions.com,602,https://github.com/CivicActions/civicactions.com/pull/602,2019-08-15T19:12:57Z,CLOSED,webpack-dev-server,3.1.10,3.8.0,['GHSA-cf66-xwfp-gvc4'],['HIGH'],HIGH
1223,CivicActions/civicactions.com,652,https://github.com/CivicActions/civicactions.com/pull/652,2019-12-28T05:18:20Z,CLOSED,handlebars,4.1.2,4.5.3,['GHSA-w457-6q6x-cgp9'],['HIGH'],HIGH
1224,catdad/raw-viewer,293,https://github.com/catdad/raw-viewer/pull/293,2020-03-13T22:30:29Z,CLOSED,acorn,6.3.0,6.4.1,['GHSA-6chw-6frg-f759'],['MODERATE'],MODERATE
1225,ensdomains/ens-app,395,https://github.com/ensdomains/ens-app/pull/395,2019-07-16T08:22:51Z,MERGED,handlebars,4.0.11,4.1.2,['GHSA-q42p-pg8m-cqh6'],['CRITICAL'],CRITICAL
1226,ensdomains/ens-app,546,https://github.com/ensdomains/ens-app/pull/546,2019-12-28T05:47:31Z,CLOSED,handlebars,4.1.2,4.5.3,['GHSA-w457-6q6x-cgp9'],['HIGH'],HIGH
1227,ensdomains/ens-app,553,https://github.com/ensdomains/ens-app/pull/553,2020-01-30T23:55:55Z,CLOSED,@ensdomains/ens,0.3.11,0.4.0,['GHSA-8f9f-pc5v-9r5h'],['CRITICAL'],CRITICAL
1228,ensdomains/ens-app,620,https://github.com/ensdomains/ens-app/pull/620,2020-03-12T04:17:55Z,CLOSED,handlebars,4.1.2,4.7.3,['GHSA-w457-6q6x-cgp9'],['HIGH'],HIGH
1229,ensdomains/ens-app,666,https://github.com/ensdomains/ens-app/pull/666,2020-04-02T10:26:56Z,CLOSED,handlebars,4.1.2,4.7.4,['GHSA-w457-6q6x-cgp9'],['HIGH'],HIGH
1230,ensdomains/ens-app,691,https://github.com/ensdomains/ens-app/pull/691,2020-04-29T10:44:47Z,CLOSED,handlebars,4.1.2,4.7.6,['GHSA-w457-6q6x-cgp9'],['HIGH'],HIGH
1231,Tiledesk/tiledesk-server,9,https://github.com/Tiledesk/tiledesk-server/pull/9,2020-02-14T17:01:50Z,CLOSED,morgan,1.9.0,1.9.1,['GHSA-gwg9-rgvj-4h5j'],['MODERATE'],MODERATE
1232,Tiledesk/tiledesk-server,10,https://github.com/Tiledesk/tiledesk-server/pull/10,2020-02-14T17:01:51Z,CLOSED,mongoose,4.13.12,5.7.5,['GHSA-8687-vv9j-hgph'],['MODERATE'],MODERATE
1233,Tiledesk/tiledesk-server,11,https://github.com/Tiledesk/tiledesk-server/pull/11,2020-02-14T17:01:54Z,CLOSED,stringstream,0.0.5,0.0.6,['GHSA-mf6x-7mm4-x2g7'],['MODERATE'],MODERATE
1234,Tiledesk/tiledesk-server,12,https://github.com/Tiledesk/tiledesk-server/pull/12,2020-02-14T17:01:55Z,MERGED,lodash.merge,4.6.1,4.6.2,['GHSA-jf85-cpcp-j695'],['HIGH'],HIGH
