,repository,package,fix_commit,dep_file_fix_version,lock_file_fix_version,latest_version,latest_stable_version,pr_version,vulnerable_version,fix_date,latest_version_date,latest_stable_version_date,pr_date,pr_number,lock_file_type
39,BrightID/BrightID,mixin-deep,1f8bad5f3856bdd5e8281a6baeecd7c9f1e43796,,1.3.1,2.0.1,2.0.1,1.3.2,1.3.1,2020-05-06 11:17:31+08:00,2019-06-19T17:47:14.541Z,2019-06-19T17:47:14.541Z,2019-11-14T10:08:11Z,298,package-lock.json
40,BrightID/BrightID,mixin-deep,1f8bad5f3856bdd5e8281a6baeecd7c9f1e43796,,1.3.1,2.0.1,2.0.1,1.3.2,1.3.1,2020-05-06 11:17:31+08:00,2019-06-19T17:47:14.541Z,2019-06-19T17:47:14.541Z,2019-11-14T10:08:27Z,299,package-lock.json
41,BrightID/BrightID,mixin-deep,2261d9f4ef7c9f2b0509ef395c143b1073997be1,,1.3.1,2.0.1,2.0.1,1.3.2,1.3.1,2020-01-27 13:30:28+07:00,2019-06-19T17:47:14.541Z,2019-06-19T17:47:14.541Z,2019-11-02T21:27:53Z,295,package-lock.json
42,BrightID/BrightID,mixin-deep,2261d9f4ef7c9f2b0509ef395c143b1073997be1,,1.3.1,2.0.1,2.0.1,1.3.2,1.3.1,2020-01-27 13:30:28+07:00,2019-06-19T17:47:14.541Z,2019-06-19T17:47:14.541Z,2019-11-14T10:08:10Z,297,package-lock.json
43,BrightID/BrightID,mixin-deep,2261d9f4ef7c9f2b0509ef395c143b1073997be1,,1.3.1,2.0.1,2.0.1,1.3.2,1.3.1,2020-01-27 13:30:28+07:00,2019-06-19T17:47:14.541Z,2019-06-19T17:47:14.541Z,2019-11-14T10:08:11Z,298,package-lock.json
44,BrightID/BrightID,mixin-deep,2261d9f4ef7c9f2b0509ef395c143b1073997be1,,1.3.1,2.0.1,2.0.1,1.3.2,1.3.1,2020-01-27 13:30:28+07:00,2019-06-19T17:47:14.541Z,2019-06-19T17:47:14.541Z,2019-11-14T10:08:27Z,299,package-lock.json
45,BrightID/BrightID,handlebars,2261d9f4ef7c9f2b0509ef395c143b1073997be1,,,4.7.2,4.7.2,4.5.3,4.1.2,2020-01-27 13:30:28+07:00,2020-01-13T20:53:39.828Z,2020-01-13T20:53:39.828Z,2019-12-28T04:50:50Z,313,package-lock.json
46,BrightID/BrightID,handlebars,2261d9f4ef7c9f2b0509ef395c143b1073997be1,,,4.7.2,4.7.2,4.5.3,4.0.11,2020-01-27 13:30:28+07:00,2020-01-13T20:53:39.828Z,2020-01-13T20:53:39.828Z,2019-12-28T21:11:52Z,314,package-lock.json
47,BrightID/BrightID,acorn,609ff64e62a9968eab69adf17b6fa59881574bfb,,,7.1.1,7.1.1,6.4.1,6.4.0,2020-04-27 16:39:23+08:00,2020-03-01T12:39:27.836Z,2020-03-01T12:39:27.836Z,2020-03-13T23:15:50Z,350,package-lock.json
48,BrightID/BrightID,jquery,1f8bad5f3856bdd5e8281a6baeecd7c9f1e43796,,,3.5.1,3.5.1,3.5.0,3.3.1,2020-05-06 11:17:31+08:00,2020-05-04T22:50:08.819Z,2020-05-04T22:50:08.819Z,2020-04-30T00:21:43Z,407,package-lock.json
49,BryanAdamss/vue-awesome-template,webpack-bundle-analyzer,662e5fc5d33fcdf0f579fecf84ae19c0f89509a1,,3.8.0,3.8.0,3.8.0,3.3.2,2.13.1,2020-06-23 20:06:37+08:00,2020-05-19T13:07:03.964Z,2020-05-19T13:07:03.964Z,2019-11-02T18:15:34Z,1,package-lock.json
50,BryanAdamss/vue-awesome-template,webpack-dev-server,662e5fc5d33fcdf0f579fecf84ae19c0f89509a1,,3.11.0,3.11.0,3.11.0,3.1.11,2.11.5,2020-06-23 20:06:37+08:00,2020-05-08T15:17:35.787Z,2020-05-08T15:17:35.787Z,2019-11-28T10:28:13Z,3,package-lock.json
51,BryanAdamss/vue-awesome-template,handlebars,662e5fc5d33fcdf0f579fecf84ae19c0f89509a1,,,4.7.6,4.7.6,4.5.3,4.1.2,2020-06-23 20:06:37+08:00,2020-04-03T17:59:55.566Z,2020-04-03T17:59:55.566Z,2019-12-29T23:32:39Z,4,package-lock.json
52,C0deboy/jaki-jezyk-programowania,eslint-utils,97a0e213a54b51b8ff2930b80635d3504a68c48b,,1.4.3,2.0.0,2.0.0,1.4.3,1.4.0,2020-03-03 17:27:44+01:00,2019-12-26T09:03:45.070Z,2019-12-26T09:03:45.070Z,2019-11-02T21:49:53Z,5,package-lock.json
53,C0deboy/jaki-jezyk-programowania,npm,97a0e213a54b51b8ff2930b80635d3504a68c48b,^6.14.1,6.14.1,6.14.1,6.14.1,6.13.4,6.10.3,2020-03-03 17:27:44+01:00,2020-02-27T00:40:33.004Z,2020-02-27T00:40:33.004Z,2019-12-13T19:05:01Z,6,package-lock.json
54,C0deboy/jaki-jezyk-programowania,acorn,b7c6bd01d071c88bd74753abdafc4db9eb106637,,7.3.1,7.3.1,7.3.1,6.4.1,6.4.0,2020-08-02 10:58:49+02:00,2020-06-11T10:24:01.388Z,2020-06-11T10:24:01.388Z,2020-03-13T21:00:04Z,7,package-lock.json
55,C0deboy/jaki-jezyk-programowania,jquery,b7c6bd01d071c88bd74753abdafc4db9eb106637,^3.5.1,3.5.1,3.5.1,3.5.1,3.5.0,3.4.1,2020-08-02 10:58:49+02:00,2020-05-04T22:50:08.819Z,2020-05-04T22:50:08.819Z,2020-04-29T22:58:31Z,8,package-lock.json
56,CANDY-LINE/candy-red,node-red-dashboard,6e78d5a2a2d259bcb3b044b05b8a5b08d88862d1,^2.14.0,2.14.0,2.14.0,2.14.0,2.17.0,2.10.1,2019-03-18 15:58:58+09:00,2019-02-28T12:27:22.258Z,2019-02-28T12:27:22.258Z,2019-11-14T09:14:45Z,42,package-lock.json
57,CANDY-LINE/candy-red,lodash.merge,81678271cb2a15388f690959698a2c19baabd44a,,4.6.2,4.6.2,4.6.2,4.6.2,4.6.1,2019-11-27 16:00:06+09:00,2019-07-10T00:19:41.667Z,2019-07-10T00:19:41.667Z,2019-11-14T09:14:48Z,43,package-lock.json
58,CANDY-LINE/candy-red,extend,19605e6bb4ca021a893ab38959330a39d8975a86,,3.0.2,3.0.2,3.0.2,3.0.2,3.0.1,2019-11-14 18:38:39+09:00,2018-07-19T20:28:11.447Z,2018-07-19T20:28:11.447Z,2019-11-14T09:14:49Z,44,package-lock.json
59,CANDY-LINE/candy-red,mixin-deep,81678271cb2a15388f690959698a2c19baabd44a,,1.3.2,2.0.1,2.0.1,1.3.2,1.3.1,2019-11-27 16:00:06+09:00,2019-06-19T17:47:14.541Z,2019-06-19T17:47:14.541Z,2019-11-14T09:14:50Z,45,package-lock.json
60,CANDY-LINE/candy-red,handlebars,fee7597dd2b72f39741de7bd2832c2381e3a4573,,4.0.14,4.5.2,4.5.2,4.0.14,4.0.11,2019-11-14 20:06:31+09:00,2019-11-13T21:08:11.678Z,2019-11-13T21:08:11.678Z,2019-11-14T09:14:52Z,46,package-lock.json
61,CMSgov/design-system,lodash,2cbc4d6be0fe86344235e91992b6d1d04e82ace5,^4.17.14,4.17.4,4.17.14,4.17.14,4.17.14,4.17.4,2019-07-12 09:52:01-04:00,2019-07-10T15:44:39.173Z,2019-07-10T15:44:39.173Z,2019-07-13T20:24:59Z,461,yarn.lock
62,CMSgov/design-system,lodash,2cbc4d6be0fe86344235e91992b6d1d04e82ace5,^4.17.14,4.17.4,4.17.14,4.17.14,4.17.14,4.17.4,2019-07-12 09:52:01-04:00,2019-07-10T15:44:39.173Z,2019-07-10T15:44:39.173Z,2019-07-13T20:25:03Z,462,yarn.lock
63,CMSgov/design-system,lodash,2cbc4d6be0fe86344235e91992b6d1d04e82ace5,^4.17.14,4.17.4,4.17.14,4.17.14,4.17.13,4.17.11,2019-07-12 09:52:01-04:00,2019-07-10T15:44:39.173Z,2019-07-10T15:44:39.173Z,2019-07-20T13:21:23Z,466,yarn.lock
