repository,start_commits_total,end_commits_total,total_authors,package.json,mocha,jest,jasmine,karma,puppeteer,nightwatch,cypress,playwright,selenium-webdriver,github_actions,circleci,travisci,appveyor,jenkins,gitlab,azure,size,age
brillout/wildcard-api,226,941,5,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,4.12,936
storybookjs/frontpage,435,1067,53,1,0,0,0,0,0,0,0,0,0,-1,12,-1,-1,-1,-1,-1,69.5,936
poanetwork/posdao-contracts,294,554,12,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,5.09,936
CyberCRI/learn-ext,491,1551,3,1,1,0,0,1,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,17.35,936
lino-framework/react,181,566,7,1,0,0,0,0,0,0,1,0,0,-1,-1,5,-1,-1,-1,-1,25.68,938
katai5plate/RPGMV-CoreScript-Reference,218,777,9,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,2.84,939
MikaelMayer/Editor,265,820,6,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,3.13,940
smeup/ketchup,122,4413,36,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,62.6,941
CalvinVon/dalao-proxy,118,361,6,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,2.42,943
tecsinapse/ui-kit,586,1763,25,1,0,1,0,0,0,0,0,0,0,-1,-1,27,-1,-1,-1,-1,33.98,949
ovh/manager,1158,9445,89,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,191.06,1442
Waiviogit/waivio,1068,8257,38,1,0,1,0,0,0,0,0,0,0,-1,1,-1,-1,-1,-1,-1,40.9,945
dwp/govuk-casa,245,490,20,1,1,0,0,0,0,0,0,0,0,-1,-1,2,-1,-1,27,-1,6.08,947
wu-yu-xuan/blog.mscorlib.top,142,328,3,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,4.8,948
monero-ecosystem/monero-javascript,1306,2814,7,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,113.47,949
carbon-design-system/carbon-components-vue,348,917,33,1,0,0,0,0,0,0,0,0,0,-1,0,-1,-1,-1,-1,-1,699.14,950
Laboralphy/o876-raycaster-engine,146,565,7,1,0,0,1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,51.27,950
MoTrPAC/motrpac-frontend,179,792,5,1,0,0,0,0,0,0,0,0,0,-1,3,-1,-1,-1,-1,-1,38.17,950
opentargets/platform-app,345,2094,14,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,9.4,956
CatalysmsServerManager/7-days-to-die-server-manager,1909,2607,21,1,1,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,51.59,1310
seatsio/seatsio-js,403,653,10,1,0,1,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,1.98,958
IBM/openapi-validator,563,805,28,1,0,0,0,0,0,0,0,0,0,-1,-1,4,-1,-1,-1,-1,8.76,1437
TankerHQ/sdk-js,660,1676,30,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,24,-1,9.58,964
lttb/reshadow,175,332,8,1,0,1,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,2.22,971
medialab/website,1496,2518,19,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,9,-1,103.07,986
mtgjson/mtgjson-website,196,508,11,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,12.74,973
tailwindtoolbox/TailwindToolbox,188,452,8,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,22.88,976
inaturalist/SeekReactNative,1156,4968,7,1,0,1,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,213.99,977
Haehnchen/crypto-trading-bot,381,787,12,1,1,0,0,0,0,0,0,0,0,-1,-1,1,-1,-1,-1,-1,4.78,1052
twilio/twilio-cli,200,515,27,1,1,0,0,0,0,0,0,0,0,-1,-1,14,4,-1,-1,-1,6.39,986
testing-library/user-event,166,591,85,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,2.68,984
EdgeApp/edge-currency-accountbased,509,1204,28,1,1,0,0,0,0,0,0,0,0,-1,-1,0,-1,-1,-1,-1,32.8,1558
fortinet/fortigate-autoscale,99,434,9,1,1,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,7.68,1006
TarsCloud/TarsWeb,546,1029,42,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,40.14,1140
streamr-dev/broker,396,1106,15,1,0,1,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,3.65,2316
keyboardio/Chrysalis,650,1405,27,1,0,1,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,25.58,993
lannonbr/vscode-issue-tracker,5690,21040,4,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,198.13,994
maxjeffwell/full-stack-capstone-client,238,281,3,1,0,0,0,0,0,0,0,0,0,-1,-1,2,-1,-1,-1,-1,1.64,993
goabstract/abstract-sdk,401,597,23,1,0,1,0,0,0,0,0,0,0,-1,2,-1,-1,-1,-1,-1,8.76,992
visgl/loaders.gl,242,1237,57,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,236.43,997
RebusFoundation/reader-api,292,509,5,1,0,0,0,0,0,0,0,0,0,-1,-1,4,-1,-1,-1,-1,4.9,997
EDM-Spot/OtterBot,1004,1492,4,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,8.56,994
ucfopen/Obojobo,2482,5135,30,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,33.31,2022
acl-services/paprika,347,5906,39,1,0,1,0,0,0,0,1,0,0,-1,-1,-1,-1,-1,-1,-1,24.19,1004
Neko250/rlspain,404,971,5,1,0,0,0,0,0,0,0,0,0,-1,-1,3,-1,-1,-1,-1,12.65,1006
nexxtway/react-rainbow,844,1770,50,1,0,1,0,0,0,0,0,0,0,-1,20,-1,-1,-1,-1,-1,29.11,1644
atomicojs/atomico,189,721,7,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,3.16,843
vck3000/ProAvalon,1227,1614,28,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,41.26,1225
totvs/ttalk-standard-message,3329,4834,180,1,1,0,0,0,0,0,0,0,0,-1,-1,12,-1,-1,-1,-1,14.62,1015
rabiran/karting,287,766,22,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,5.3,1015
bchiang7/v4,181,415,6,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,51.59,1020
integr8ly/tutorial-web-app,843,1023,45,1,0,1,0,0,0,0,0,0,0,-1,1,-1,-1,-1,-1,-1,23.66,1019
Kommunicate-io/Kommunicate-Web-SDK,1451,2769,38,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,16.52,1321
integromat/vscode-apps-sdk,168,280,2,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,2.63,1019
entrylabs/entry-tool,457,1369,31,1,0,0,0,0,0,0,0,0,0,-1,-1,0,-1,-1,-1,-1,28.63,1019
