,repository,package,ghsa,fix_commit,fix_commit_parent,date,committer_date,source,dep_file_fix,lockfile_fix,dep_file_inspired,lockfile_inspired,inspired,fix_time
1224,sencha/ext-react,acorn,GHSA-6chw-6frg-f759,623d0f1bef440231bbcc227493e25e6c8b12874e,bea2e892964ded2eef170f634990c9d41a7b66e3,2020-04-09 10:43:34-04:00,2020-04-09 10:43:34-04:00,GITHUB,0,0,0,0,0,
1225,sendgrid/docs,lodash,GHSA-jf85-cpcp-j695,554e8e29fe963b61d5db6c63bb6ac9b8668295da,8cd7288f30e9e5645062d451941e5d41ba267a95,2019-10-17 11:12:38-06:00,2019-10-17 11:12:38-06:00,GITHUB,1,1,0,0,0,"0,13"
1226,sendgrid/docs,mixin-deep,GHSA-fhjf-83wg-r2j9,554e8e29fe963b61d5db6c63bb6ac9b8668295da,8cd7288f30e9e5645062d451941e5d41ba267a95,2019-10-17 11:12:38-06:00,2019-10-17 11:12:38-06:00,GITHUB,0,1,0,1,1,"0,13"
1227,sendgrid/docs,lodash.template,GHSA-jf85-cpcp-j695,554e8e29fe963b61d5db6c63bb6ac9b8668295da,8cd7288f30e9e5645062d451941e5d41ba267a95,2019-10-17 11:12:38-06:00,2019-10-17 11:12:38-06:00,GITHUB,0,1,0,0,0,"0,13"
1228,sendgrid/docs,lodash.merge,GHSA-jf85-cpcp-j695,554e8e29fe963b61d5db6c63bb6ac9b8668295da,8cd7288f30e9e5645062d451941e5d41ba267a95,2019-10-17 11:12:38-06:00,2019-10-17 11:12:38-06:00,GITHUB,0,1,0,0,0,"0,13"
1229,sendgrid/docs,eslint-utils,GHSA-3gx7-xhv7-5mx3,554e8e29fe963b61d5db6c63bb6ac9b8668295da,8cd7288f30e9e5645062d451941e5d41ba267a95,2019-10-17 11:12:38-06:00,2019-10-17 11:12:38-06:00,GITHUB,0,1,0,0,0,"0,13"
1230,sendgrid/docs,lodash.mergewith,GHSA-jf85-cpcp-j695,554e8e29fe963b61d5db6c63bb6ac9b8668295da,8cd7288f30e9e5645062d451941e5d41ba267a95,2019-10-17 11:12:38-06:00,2019-10-17 11:12:38-06:00,GITHUB,0,1,0,0,0,"0,13"
1231,sendgrid/docs,acorn,GHSA-6chw-6frg-f759,fdb84874b6c4a9333f51ecca8bd24b14fdedd001,68e6199e9bfa07d546029764ddd93c88bb051a98,2020-03-25 11:53:37-07:00,2020-03-25 11:53:37-07:00,GITHUB,0,0,0,0,0,
1232,sensorsdata/sa-sdk-javascript,lodash,GHSA-jf85-cpcp-j695,f8b9b2c6fa30d0bcd0dda90b275fc3569ef59a48,8fe91441e702def18f3ced324f11552e8a3a4346,2019-12-02 11:29:59+08:00,2019-12-02 11:29:59+08:00,GITHUB,0,0,0,0,0,
1233,serverless/plugins,acorn,GHSA-6chw-6frg-f759,b09234387412b06781398fb10e0ada6395973aa6,c21600162633f5db449b133623523b7e12b8d7b6,2020-03-25 18:28:27+03:00,2020-03-25 18:28:27+03:00,GITHUB,0,0,0,0,0,
